Model and feature tuning leaderboard (scorer=RMSE):
+-------------+-----------+-----------------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+------------+--------------+---------------------+--------------------+-------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+-------------+--------------+--------------------+----------+-------------+-------------+------------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+------------+----------+--------+
|   job order | booster   | boosting_type   |   colsample_bytree | debug_verbose   | early_stopping_rounds   | early_stopping_threshold   | eval_metric   |   gamma | gpu_id   | grow_policy   | learning_rate   |   max_bin |   max_delta_step |   max_depth | max_drop   |   max_leaves |   min_child_samples | min_child_weight   |   min_data_in_bin | monotonicity_constraints   | n_estimators   | n_gpus   | num_classes   | objective   | random_state   | rate_drop   |   reg_alpha |   reg_lambda |   scale_pos_weight | silent   | skip_drop   |   subsample | subsample_freq   | tree_method   |   scores |   scores_sd |   training_times |   rel_time |   optimal_n_estimators |   rel_optimal_n_estimators |   ngenes_start |   ngenes_max |   ngenes |   nfeatures_max |   nfeatures | job status   |   rel_scores |   complexity |    z-score | isbest   | good   |
|          54 | gbtree    | gbdt            |               0.6  | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |        64 |                0 |           5 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.1 |                  1 | True     |             |         0.7 |                  | gpu_hist      |  535.32  |     14.1176 |         2.98502  |  0.200896  |                    600 |                   1        |             43 |       165089 |       14 |          165089 |          12 | PASSED       |     0.788381 |     782.624  |   8.52286  |          |        |
|          79 | gbtree    | gbdt            |               0.5  | 0               | 20                      | 0                          | rmse          |   1     | 0        | lossguide     | 0.01            |        64 |                0 |           0 |            |         1024 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          1   |                  1 | True     |             |         1   |                  | gpu_hist      |  544.881 |     17.7197 |         2.9118   |  0.195968  |                    600 |                   1        |             43 |         5206 |       13 |            5206 |          13 | PASSED       |     0.774547 |   13312      |   9.24219  |          |        |
|          71 | gbtree    | gbdt            |               0.6  | 0               | 20                      | 0                          | rmse          |   1     | 0        | depthwise     | 0.02            |        64 |                0 |           9 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0.5 |          0   |                  1 | True     |             |         0.8 |                  | gpu_hist      |  548.104 |     16.2172 |         4.60057  |  0.309625  |                    205 |                   0.341667 |             43 |        10410 |       17 |           10410 |          15 | PASSED       |     0.769992 |    1411.43   |   9.48472  |          |        |
|          62 | gbtree    | gbdt            |               0.55 | 0               | 20                      | 0                          | rmse          |   0.01  | 0        | lossguide     | 0.01            |       128 |                0 |           0 |            |           64 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.1 |                  1 | True     |             |         0.6 |                  | gpu_hist      |  553.786 |     21.3421 |         3.56745  |  0.240094  |                    541 |                   0.901667 |             43 |        41568 |       18 |           41568 |          17 | PASSED       |     0.762092 |    1038.72   |   9.91215  |          |        |
|          57 | gbtree    | gbdt            |               0.7  | 0               | 20                      | 0                          | rmse          |   0     | 0        | lossguide     | 0.05            |       256 |                0 |           0 |            |           16 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         1   |                  | gpu_hist      |  556.783 |     20.8116 |         1.05694  |  0.0711333 |                    118 |                   0.196667 |             43 |        82938 |        5 |           82938 |           3 | PASSED       |     0.75799  |      15.7333 |  10.1376   |          |        |
|           0 | lightgbm  | gbdt            |               0.8  |                 |                         |                            |               |   0     |          | lossguide     |                 |       256 |                0 |           0 |            |           64 |                   1 |                    |                 1 |                            |                |          |               |             |                |             |         0   |          1   |                  1 |          |             |         0.7 |                  | gpu_hist      |  569.04  |     17.317  |         1.9672   |  0.132395  |                    600 |                   1        |              5 |    100000000 |        5 |       100000000 |           5 | PASSED       |     0.741663 |     320      |  11.0598   |          |        |
|          72 | gbtree    | gbdt            |               0.4  | 0               | 20                      | 0                          | rmse          |   0     | 0        | lossguide     | 0.05            |        64 |                0 |           0 |            |         1024 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          2   |                  1 | True     |             |         0.8 |                  | gpu_hist      |  576.17  |     14.6768 |         5.16847  |  0.347845  |                    600 |                   1        |             43 |         5206 |       18 |            5206 |          18 | PASSED       |     0.732485 |   18432      |  11.5962   |          |        |
|          43 | lightgbm  | dart            |               0.9  | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.05            |       256 |                0 |           5 | 50         |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.05        |         0   |          2   |                  1 | True     | 0.5         |         0.5 | 1                | gpu_hist      |  598.808 |     17.9309 |         2.87489  |  0.193484  |                    312 |                   0.52     |             43 |    100000000 |        3 |       100000000 |           3 | PASSED       |     0.704794 |      87.2067 |  13.2994   |          |        |
|          33 | lightgbm  | dart            |               0.5  | 0               | 20                      | 0                          | rmse          |  10     | 0        | depthwise     | 0.05            |        64 |                0 |          10 | 50         |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.05        |         0   |          0.5 |                  1 | True     | 0.4         |         0.8 | 10               | gpu_hist      |  600.146 |     18.1905 |         1.66479  |  0.112043  |                    281 |                   0.468333 |             43 |    100000000 |       13 |       100000000 |          13 | PASSED       |     0.703222 |    1925.3    |  13.4      |          |        |
|          30 | lightgbm  | rf              |               0.7  | 0               | 20                      | 0                          | rmse          |   1     | 0        | lossguide     | 0.01            |        32 |                0 |           0 | 200        |         4096 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.05        |         0   |          2   |                  1 | True     | 0.4         |         0.9 | 10               | gpu_hist      |  602.752 |     26.315  |         2.29504  |  0.154459  |                    600 |                   1        |             43 |    100000000 |        8 |       100000000 |           8 | PASSED       |     0.700181 |   32768      |  13.5961   |          |        |
|          76 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0.001 | 0        | lossguide     | 0.02            |        64 |                0 |           0 |            |         1024 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         2   |          0   |                  1 | True     |             |         0.7 |                  | gpu_hist      |  643.54  |     18.8887 |         3.70022  |  0.24903   |                    213 |                   0.355    |             43 |         5206 |       16 |            5206 |          16 | PASSED       |     0.655803 |    5816.32   |  16.6648   |          |        |
|          80 | gbtree    | gbdt            |               0.35 | 0               | 20                      | 0                          | rmse          |   1     | 0        | depthwise     | 0.01            |       128 |                0 |           9 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.1 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  647.867 |     21.311  |         4.05204  |  0.272708  |                    600 |                   1        |             43 |         5206 |       18 |            5206 |          17 | PASSED       |     0.651424 |    4374      |  16.9903   |          |        |
|          23 | lightgbm  | rf              |               0.3  | 0               | 20                      | 0                          | rmse          |   0.001 | 0        | lossguide     | 0.01            |       128 |                0 |           0 | 200        |           64 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.05        |         0   |          1   |                  1 | True     | 0.5         |         1   | 5                | gpu_hist      |  665.425 |     16.4666 |         2.24066  |  0.150799  |                    600 |                   1        |             43 |    100000000 |       19 |       100000000 |          19 | PASSED       |     0.634235 |    1216      |  18.3113   |          |        |
|          48 | lightgbm  | gbdt            |               0.7  | 0               | 20                      | 0                          | rmse          |   0.001 | 0        | lossguide     | 0.01            |        64 |                0 |           0 | 100        |           16 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.05        |         0   |          0.1 |                  1 | True     | 0.6         |         0.7 | 10               | gpu_hist      |  671.754 |     23.9107 |         2.13225  |  0.143504  |                    525 |                   0.875    |             43 |    100000000 |        8 |       100000000 |           8 | PASSED       |     0.628259 |     112      |  18.7875   |          |        |
|          49 | lightgbm  | gbdt            |               0.8  | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.01            |        64 |                0 |           8 | 50         |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.2         |         0   |          0.1 |                  1 | True     | 0.5         |         1   | 1                | gpu_hist      |  692.626 |     22.1857 |         2.62183  |  0.176452  |                    600 |                   1        |             43 |    100000000 |        6 |       100000000 |           6 | PASSED       |     0.609327 |    1086.12   |  20.3578   |          |        |
|          68 | gbtree    | gbdt            |               0.4  | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.01            |       128 |                0 |           8 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          2   |                  1 | True     |             |         0.8 |                  | gpu_hist      |  727.217 |     20.1462 |         2.68279  |  0.180555  |                    600 |                   1        |             43 |        10410 |       20 |           10410 |          20 | PASSED       |     0.580344 |    3620.39   |  22.9602   |          |        |
|          25 | lightgbm  | rf              |               0.6  | 0               | 20                      | 0                          | rmse          |   0.01  | 0        | lossguide     | 0.02            |        64 |                0 |           0 | 50         |           64 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.2         |         0.5 |          0   |                  1 | True     | 0.4         |         0.7 | 10               | gpu_hist      |  731.764 |     18.1032 |         4.75358  |  0.319922  |                    600 |                   1        |             43 |    100000000 |       18 |       100000000 |          18 | PASSED       |     0.576738 |    1152      |  23.3023   |          |        |
|          42 | lightgbm  | gbdt            |               0.65 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |        64 |                0 |           8 | 50         |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.1         |         0   |          5   |                  1 | True     | 0.5         |         0.6 | 1                | gpu_hist      |  756.599 |     19.4531 |         1.93164  |  0.130002  |                    600 |                   1        |             43 |    100000000 |        5 |       100000000 |           5 | PASSED       |     0.557806 |     905.097  |  25.1708   |          |        |
|          73 | gbtree    | gbdt            |               0.3  | 0               | 20                      | 0                          | rmse          |   0     | 0        | lossguide     | 0.02            |        64 |                0 |           0 |            |         1024 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          2   |                  1 | True     |             |         0.7 |                  | gpu_hist      |  757.802 |     20.51   |         3.93448  |  0.264796  |                    600 |                   1        |             43 |         5206 |       23 |            5206 |          23 | PASSED       |     0.556921 |   23552      |  25.2613   |          |        |
|           5 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |       256 |                0 |           6 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  776.515 |     16.6446 |         3.03786  |  0.204452  |                    600 |                   1        |             44 |        20809 |       16 |           20809 |          15 | PASSED       |     0.5435   |    1410.91   |  26.6691   |          |        |
|           2 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |       256 |                0 |           6 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.8 |                  | gpu_hist      |  786.34  |     23.0639 |         2.98132  |  0.200647  |                    600 |                   1        |             44 |        20809 |       15 |           20809 |          14 | PASSED       |     0.536709 |    1322.72   |  27.4083   |          |        |
